Birth,GU,LIFE,Sex,Marry,CLwkd1,CLwke1,HLwkd1,HLwke1,Job,Avg_income,cluster
1960,110,1,1,1,1,5,3,5,4,12,3
1960,110,3,1,1,1,7,1,6,7,8,6
1959,110,3,2,1,1,5,1,6,5,7,1
1968,110,1,1,1,1,5,6,9,1,9,2
1956,110,1,1,1,1,5,1,6,7,9,0
1959,110,1,2,1,1,1,8,5,4,6,5
1957,110,1,1,1,1,5,1,6,4,14,3
1967,110,1,2,1,1,6,1,8,5,11,5
1971,110,1,2,1,1,5,8,6,5,8,5
1963,110,1,1,1,1,1,1,1,5,6,2
1982,110,1,1,1,1,5,1,5,5,9,2
1955,110,1,2,5,1,1,1,1,5,7,4
1962,110,1,2,5,1,1,1,5,5,7,4
1956,110,1,1,1,1,5,1,5,5,9,2
1969,110,1,2,1,1,5,6,3,4,5,5
1964,110,1,1,1,1,6,1,5,5,6,2
1990,110,1,2,2,7,7,6,6,3,7,5
1972,110,1,1,1,1,1,5,8,8,7,0
1971,110,1,2,1,1,7,8,5,3,7,5
1956,110,1,1,1,1,9,1,9,5,7,2
1955,110,1,2,2,7,7,6,6,3,7,5
1956,110,1,1,1,1,5,1,9,1,7,2
1961,110,1,2,1,1,8,1,5,3,8,5
1966,110,1,2,2,7,7,5,8,3,6,5
1992,110,1,1,1,1,9,1,6,4,7,2
1978,110,1,2,1,1,5,3,8,3,7,5
1979,110,1,1,1,1,5,1,9,5,7,2
1959,110,1,2,1,1,5,1,8,4,6,5
1983,110,1,2,2,7,7,5,8,3,7,5
1962,110,1,2,1,1,10,6,3,3,9,5
1959,110,1,1,1,1,5,6,5,4,8,2
1979,110,1,1,1,1,5,1,5,4,7,2
1973,110,1,2,1,1,5,1,6,5,8,5
1982,110,1,1,1,1,1,5,6,5,5,2
1977,110,1,1,1,7,6,7,6,5,8,2
1970,110,1,2,1,10,5,6,6,5,5,5
1965,110,1,1,1,1,1,1,1,5,1,2
1980,110,1,2,1,1,5,8,5,4,5,5
1977,110,1,1,1,1,1,1,5,7,9,0
1975,110,1,1,2,7,7,5,8,3,7,2
1974,110,1,2,3,11,9,11,11,4,6,5
1962,110,1,2,2,10,10,10,10,3,7,5
1970,110,1,1,1,11,5,11,11,1,7,2
1965,110,1,2,1,11,10,11,10,9,7,0
1965,110,1,2,2,3,3,3,3,9,1,0
1976,110,1,2,2,11,2,11,6,1,9,5
1971,110,2,1,1,5,9,1,5,5,9,6
1968,110,2,2,1,10,3,11,11,3,6,1
1970,110,2,2,2,1,1,1,3,3,4,1
1985,110,1,2,2,1,10,5,3,2,5,5
1961,110,1,1,1,6,6,6,6,1,17,3
1972,110,1,2,1,1,6,1,6,4,11,3
1955,110,1,1,4,1,1,11,6,4,8,4
1956,110,2,1,1,1,1,1,1,3,7,6
1989,110,1,2,4,1,6,5,4,5,4,4
1968,110,1,2,4,1,6,5,1,5,5,4
1974,110,1,1,1,1,1,2,2,9,5,0
1990,110,1,2,1,1,1,2,2,5,3,5
1976,110,1,1,4,1,1,1,6,4,8,4
1982,110,1,2,2,10,8,1,3,3,6,5
1974,110,1,1,1,1,7,4,6,2,8,2
1965,110,1,1,2,1,1,6,6,4,6,2
1978,110,2,1,1,1,1,3,6,4,8,6
1968,110,2,1,2,1,5,7,7,2,7,6
1957,110,1,1,1,6,6,6,6,4,9,2
1958,110,1,2,1,6,5,6,6,4,7,5
1988,110,1,2,3,1,6,1,6,5,8,5
1974,110,1,1,1,1,6,1,6,5,5,2
1965,110,1,1,1,1,1,1,1,2,16,3
1968,110,1,1,1,1,10,10,6,2,6,2
1996,110,1,1,3,1,1,1,1,5,5,2
1961,110,1,1,1,1,27,1,27,8,18,3
1965,110,1,1,1,1,1,1,1,2,7,2
1974,110,1,2,1,1,6,1,6,2,6,5
1968,110,2,2,2,21,21,21,21,5,18,3
1975,110,2,1,1,10,6,10,6,8,11,0
1968,110,1,1,1,1,9,1,9,1,8,2
1963,110,1,2,1,1,1,1,6,9,5,0
1989,110,1,1,1,2,6,1,6,9,6,0
1966,110,1,2,2,2,6,11,2,7,5,5
1983,110,1,1,2,1,6,11,2,3,5,2
1961,110,1,2,5,1,1,1,2,5,6,4
1958,110,1,1,1,1,5,1,5,3,5,2
1967,110,1,2,1,1,5,1,5,3,5,5
1980,110,1,1,1,1,1,1,8,2,8,2
1971,110,1,2,2,5,6,7,2,3,6,5
1958,110,2,1,1,1,6,1,6,3,7,6
1969,110,1,1,1,2,5,2,4,1,14,3
1963,110,1,2,1,2,2,6,2,4,7,5
1983,110,1,1,1,1,1,1,2,2,9,2
1960,110,1,2,1,1,10,1,8,5,5,5
1957,110,1,1,1,1,10,1,10,8,9,0
1970,110,1,1,1,1,1,1,1,7,7,0
1977,110,1,2,1,1,7,2,6,5,5,5
1977,110,1,1,1,1,2,1,6,1,11,3
1975,110,1,2,1,1,2,8,6,3,7,5
1958,110,1,2,2,1,2,1,6,6,6,5
1956,110,2,1,1,1,2,4,5,1,13,3
1959,110,1,1,1,1,6,1,6,2,16,3
1962,110,1,2,1,1,2,1,6,5,4,5
1972,110,1,1,1,1,6,1,6,5,15,3
1969,110,1,1,1,1,9,1,9,5,9,2
1969,110,1,2,1,1,10,1,8,5,1,5
1957,110,1,1,1,1,1,1,3,5,7,2
1956,110,1,2,1,1,1,2,8,5,4,5
1956,110,1,1,1,1,9,8,9,4,11,3
1959,110,1,2,1,1,9,6,9,5,7,5
1971,110,1,1,1,1,9,8,9,4,13,3
1956,110,1,2,1,1,9,6,9,5,7,5
1963,110,1,1,1,1,1,3,6,7,8,0
1979,110,1,1,2,1,1,1,6,5,5,2
1968,110,1,2,3,1,10,1,1,7,7,4
1963,110,1,1,2,1,2,1,2,3,5,2
1957,110,1,1,5,1,9,1,9,7,8,4
1961,110,1,2,3,1,9,1,9,4,5,5
1964,110,1,1,1,1,1,4,5,3,6,2
1967,110,1,2,1,1,1,3,5,3,5,5
1960,110,1,2,2,1,8,3,6,3,6,5
1956,110,1,2,2,1,6,2,6,3,6,5
1959,110,1,1,2,5,6,4,3,2,9,2
1959,110,1,1,1,1,6,10,6,3,8,2
1960,110,1,2,1,1,6,10,6,3,7,5
1985,110,1,1,1,1,7,1,1,3,6,2
1981,110,1,2,1,1,1,3,6,5,5,5
1971,110,1,1,1,1,9,1,9,8,7,0
1986,110,1,1,1,5,6,5,6,1,18,3
1983,110,1,1,1,1,9,1,2,1,8,2
1972,110,1,1,1,1,9,3,6,8,9,0
1957,110,1,2,1,1,9,7,9,5,4,5
1974,110,1,1,1,1,6,1,5,1,13,3
1967,110,1,1,1,7,9,8,9,3,11,3
1971,110,1,1,1,1,8,5,2,4,14,3
1984,110,2,1,1,1,9,5,9,3,7,6
1965,110,2,2,1,1,9,5,2,3,5,1
1962,110,1,1,2,1,5,1,5,4,9,2
1970,110,1,1,1,1,10,1,6,4,8,2
1963,110,1,2,3,1,2,6,6,4,10,5
1962,110,2,2,3,5,8,5,5,3,11,1
1980,110,2,2,2,1,9,5,6,3,7,1
1972,110,2,1,5,5,6,9,5,3,7,4
1967,110,1,1,1,5,6,5,6,7,5,0
1962,110,1,2,1,5,6,5,6,5,4,5
1969,110,1,1,1,5,6,9,5,3,7,2
1969,110,1,1,1,5,6,9,5,5,7,2
1974,110,1,1,1,1,1,5,6,4,6,2
1958,110,1,1,1,1,1,5,6,4,10,2
1970,110,1,2,1,1,7,10,5,4,7,5
1963,110,1,1,2,1,5,5,6,3,9,2
1965,110,1,1,1,1,1,1,1,1,8,2
1982,110,1,1,1,1,1,5,6,9,6,0
1977,110,1,1,1,1,1,1,1,3,10,3
1959,110,1,1,1,1,1,1,1,3,9,2
1962,110,2,2,2,1,1,1,1,3,8,1
1962,110,1,1,1,1,1,1,1,3,8,2
1963,110,2,2,3,5,6,9,5,5,6,1
1964,110,2,2,3,5,6,9,5,5,9,1
1961,110,3,2,3,1,1,1,1,4,5,1
1960,110,3,2,2,7,7,7,7,5,4,1
1957,110,2,1,1,1,1,1,1,7,7,0
1965,110,2,2,1,1,1,1,1,5,4,1
1960,110,2,2,2,7,6,7,6,3,5,1
1963,110,2,1,5,1,2,10,6,8,4,4
1959,110,2,1,1,1,7,1,7,3,5,6
1960,110,2,2,1,7,7,7,7,4,4,1
1962,110,2,1,1,1,1,1,1,7,7,0
1958,110,3,1,3,1,1,10,10,5,3,6
1980,110,2,1,3,1,1,1,1,8,5,0
1955,110,1,1,1,1,1,1,1,8,7,0
1966,110,1,2,1,1,1,1,1,5,4,5
1967,110,2,1,1,7,7,7,7,3,6,6
1962,110,1,1,1,1,1,1,1,4,5,2
1980,110,1,2,1,1,1,1,1,5,4,5
1955,110,2,2,5,1,1,1,1,4,4,4
1974,110,2,1,1,1,1,1,1,3,9,6
1955,110,2,1,1,1,5,1,5,4,5,6
1963,110,2,2,1,1,1,1,1,5,4,1
1977,110,3,1,2,7,5,7,5,3,6,6
1960,110,2,1,3,1,1,1,1,5,7,6
1978,110,1,1,1,6,6,2,6,3,7,2
1956,110,1,2,1,1,1,1,6,4,6,5
1973,110,1,2,2,1,1,7,6,3,3,5
1987,110,2,1,1,1,1,6,6,7,5,0
1980,110,1,1,1,1,5,3,6,5,9,2
1981,110,1,2,1,1,1,6,6,5,1,5
1963,110,2,1,1,1,1,6,6,3,7,6
1963,110,2,2,1,1,7,7,6,3,4,1
1985,110,1,1,1,1,1,7,7,3,7,2
1980,110,2,1,3,7,1,6,6,3,6,6
1957,110,1,1,1,5,6,5,6,7,7,0
1958,110,1,1,1,5,6,9,6,7,7,0
1966,110,1,2,1,5,6,5,6,5,5,5
1973,110,3,1,2,1,1,5,7,4,5,6
1986,110,1,1,1,6,5,5,5,5,5,2
1961,110,1,1,1,1,5,3,6,5,9,2
1959,110,1,1,1,1,6,4,6,1,9,2
1966,110,2,1,3,1,1,6,6,7,6,0
1967,110,2,1,1,5,6,5,6,2,5,6
1961,110,2,2,1,5,6,5,6,3,5,1
1963,110,1,1,5,1,1,5,6,7,7,4
1968,110,1,2,1,1,1,3,6,3,5,5
1969,110,1,1,3,7,7,6,5,3,5,2
1955,110,1,1,1,5,5,8,3,7,7,0
1959,110,1,1,2,7,6,8,3,5,5,2
1969,110,1,1,1,8,6,5,9,5,7,2
1985,110,2,1,1,1,9,1,5,5,8,6
1969,110,1,2,1,1,9,6,9,5,7,5
1967,110,1,1,1,1,9,8,9,4,9,2
1955,110,1,2,1,1,9,6,9,5,7,5
1955,110,1,2,1,1,9,7,9,5,4,5
1967,110,1,1,1,1,9,8,9,4,7,2
1969,110,1,2,1,1,9,6,9,5,7,5
1958,110,1,2,1,1,6,5,2,7,7,5
1956,110,1,1,2,7,7,6,5,3,6,2
1962,110,2,2,5,1,5,1,5,4,7,4
1966,110,2,1,2,7,7,6,5,3,7,6
1975,110,1,1,2,7,7,6,5,3,7,2
1983,110,1,1,1,1,5,3,6,6,7,0
1958,110,1,2,1,1,1,3,6,3,5,5
1971,110,1,2,5,1,6,1,6,9,3,4
1971,110,1,1,5,5,5,5,5,7,6,4
1968,110,1,2,2,1,6,1,6,3,7,5
1968,110,1,2,5,1,9,1,6,5,5,4
1964,110,1,1,2,7,5,7,5,5,6,2
1964,110,1,2,2,7,6,7,6,3,6,5
1960,110,1,1,1,5,5,1,4,5,8,2
1982,110,2,2,2,5,5,5,5,4,6,1
1981,110,1,1,1,7,7,7,7,2,9,2
1959,110,1,1,2,7,5,7,5,3,6,2
1974,110,1,2,2,8,6,8,6,4,5,5
1970,110,1,2,2,1,5,1,5,3,6,5
1988,110,1,2,3,1,8,1,8,9,4,4
1995,110,1,2,4,1,8,1,8,5,4,4
1974,110,1,2,2,5,5,5,5,3,6,5
1968,110,1,1,3,5,5,5,5,8,8,0
1978,110,1,2,5,1,6,1,8,9,4,4
1987,110,1,2,4,1,8,1,8,5,3,4
1980,110,1,2,2,5,5,5,5,4,4,5
1973,110,1,1,1,1,5,1,5,2,7,2
1986,110,1,1,2,5,5,5,5,5,4,2
1985,110,1,1,2,1,5,1,5,3,6,2
1977,110,1,2,2,5,5,5,5,4,5,5
1968,110,1,2,5,8,8,8,8,9,3,4
1961,110,1,1,1,5,5,5,5,8,4,0
1981,110,1,1,1,5,5,5,5,4,7,2
1979,110,1,1,1,5,5,5,5,8,7,0
1970,110,1,2,1,1,8,1,8,9,3,0
1957,110,1,1,2,5,5,5,5,4,6,2
1964,110,1,1,2,5,5,5,5,2,7,2
1984,110,1,2,3,8,6,8,6,5,5,5
1969,110,1,1,2,5,5,5,5,4,5,2
1964,110,1,1,2,5,5,5,5,7,7,0
1988,110,1,1,1,5,5,5,5,8,7,0
1960,110,1,1,2,5,5,5,5,4,7,2
1985,110,1,2,3,1,8,1,8,5,4,5
1972,110,1,1,2,5,5,5,5,3,6,2
1972,110,1,1,2,5,5,5,5,4,5,2
1979,110,1,2,2,1,2,1,2,3,4,5
1957,110,1,2,1,1,8,1,8,5,3,5
1967,110,1,2,2,5,8,5,8,3,5,5
1988,110,1,1,2,5,5,5,5,3,5,2
1955,110,1,2,2,1,5,1,5,4,4,5
1972,110,1,2,1,8,8,8,8,4,5,5
1985,110,1,1,2,7,5,7,5,4,4,2
1965,110,1,2,3,8,6,8,6,9,4,4
1964,110,1,1,4,5,5,5,5,7,7,4
1964,110,1,1,1,5,5,5,5,7,6,0
1958,110,1,2,1,1,6,1,6,9,3,0
1970,110,1,1,1,1,5,1,5,8,8,0
1958,110,1,2,1,8,5,8,5,9,3,0
1959,110,1,1,1,1,5,1,5,7,4,0
1961,110,1,2,1,8,8,8,8,9,3,0
1958,110,1,2,2,5,5,5,5,2,5,5
1963,110,1,1,2,7,8,7,8,4,3,2
1969,110,1,1,3,5,5,5,5,8,7,0
1960,110,1,2,3,8,6,8,6,9,4,4
1958,110,1,2,1,1,6,1,6,5,4,5
1961,110,1,1,2,5,5,5,5,2,6,2
1977,110,1,2,2,8,1,8,1,4,4,5
1955,110,2,2,3,8,8,8,8,9,4,4
1961,110,2,2,5,8,5,8,5,9,3,4
1988,110,2,2,2,5,5,5,5,3,6,1
1984,110,2,1,2,7,5,7,5,3,6,6
1959,110,2,2,2,5,5,5,5,4,5,1
1966,110,1,2,2,5,5,5,5,2,8,5
1958,110,1,1,1,5,5,5,5,8,6,0
1970,110,1,2,1,1,5,1,5,9,3,0
1993,110,1,1,1,1,5,1,5,3,8,2
1964,110,1,1,1,5,5,5,5,8,8,0
1961,110,1,1,1,5,5,5,5,8,7,0
1979,110,1,1,1,1,5,1,5,8,7,0
1972,110,1,2,1,1,8,1,8,5,3,5
1991,110,2,1,1,7,7,7,7,5,6,6
1963,110,2,2,1,1,5,1,5,3,5,1
1980,110,1,2,5,1,8,1,8,5,4,4
1992,110,1,1,2,5,5,5,5,4,4,2
1965,110,2,1,1,1,1,5,6,4,6,6
1980,110,2,2,1,1,7,10,5,4,5,1
1995,110,2,1,1,1,1,1,1,3,10,6
1977,110,1,1,1,1,1,5,6,9,6,0
1962,110,1,2,1,1,1,1,2,3,5,5
1957,110,2,2,3,5,6,9,5,5,6,1
1965,110,2,1,1,1,1,1,1,3,9,6
1965,110,1,1,1,1,1,5,6,4,7,2
1955,110,1,1,1,5,6,9,5,3,7,2
1970,110,1,1,1,5,6,5,6,7,6,0
1965,110,1,2,1,5,6,5,6,5,5,5
1986,110,2,2,3,5,6,9,5,4,9,1
1973,110,1,2,5,5,6,9,5,3,7,4
1957,110,1,1,1,1,1,1,1,3,10,3
1987,110,1,1,5,1,1,6,5,3,8,4
1991,110,2,1,1,1,1,5,6,4,10,6
1980,110,2,2,1,1,7,10,5,4,7,1
1961,110,1,2,1,7,6,5,5,5,7,5
1986,110,1,1,1,5,5,5,6,1,7,2
1974,110,2,2,2,5,6,9,5,3,6,1
1980,110,2,2,3,5,6,9,5,4,8,1
1956,110,2,2,2,1,1,7,7,3,6,1
1975,110,1,2,1,1,7,10,5,5,6,5
1960,110,1,1,1,1,1,1,1,3,8,2
1987,110,1,2,1,1,1,1,2,3,5,5
1991,110,2,1,5,5,6,9,5,3,7,4
1974,110,1,1,1,5,6,5,6,7,6,0
1965,110,1,2,1,5,6,1,6,4,5,5
1961,110,1,1,1,5,6,5,6,8,6,0
1980,110,1,2,1,5,6,5,6,5,4,5
1958,110,1,1,1,1,1,1,1,3,10,3
1970,110,2,2,1,1,7,10,5,4,5,1
1958,110,1,1,1,1,1,1,1,3,8,2
1958,110,1,2,1,7,7,7,7,4,5,5
1962,140,1,1,3,10,5,5,6,2,11,3
1965,140,2,1,1,5,9,2,6,2,13,3
1985,140,2,1,1,1,5,2,6,1,13,3
1963,140,2,1,1,5,9,10,9,3,11,3
1971,140,2,1,1,7,6,5,6,2,14,3
1988,140,3,1,3,1,6,11,6,4,12,6
1982,140,1,1,1,1,1,5,6,1,17,3
1955,140,1,2,1,1,1,5,6,4,1,5
1971,140,1,1,1,1,6,5,6,3,8,2
1970,140,1,2,1,1,6,5,6,5,3,5
1975,140,2,1,1,1,9,1,9,8,9,0
1970,140,1,2,1,1,9,8,9,4,4,5
1966,140,3,1,2,1,7,5,6,7,7,6
1955,140,1,1,1,1,6,5,2,7,7,0
1955,140,1,2,2,5,6,10,6,4,4,5
1970,140,2,1,3,5,5,5,6,8,6,0
1987,140,2,1,2,7,5,5,6,5,4,6
1975,140,1,1,5,1,5,5,6,9,5,4
1958,140,1,1,1,1,11,1,6,1,11,3
1963,140,1,2,1,1,6,5,6,9,3,0
1960,140,1,1,1,1,5,5,6,1,7,2
1962,140,1,1,1,7,6,5,4,2,8,2
1979,140,3,1,2,11,9,2,6,4,2,6
1980,140,1,1,1,7,11,5,6,2,6,2
1964,140,1,1,1,11,10,5,6,8,3,0
1970,140,2,1,3,11,1,5,6,5,6,6
1981,140,1,1,5,11,9,5,6,1,11,4
1965,140,1,2,2,1,1,2,3,3,5,5
1992,140,1,1,1,1,1,2,3,5,6,2
1995,140,1,2,1,1,1,2,3,5,2,5
1986,140,3,1,2,1,1,3,3,7,6,6
1955,140,1,2,3,1,1,2,2,5,5,5
1961,140,1,1,1,1,1,2,2,7,7,0
1986,140,1,1,1,1,1,3,3,5,5,2
1988,140,1,1,1,1,1,2,3,5,9,2
1982,140,1,1,1,1,1,1,3,5,8,2
1968,140,1,1,1,1,1,1,3,5,7,2
1980,140,1,1,1,1,1,2,3,5,9,2
1972,140,1,1,1,1,1,2,3,5,6,2
1978,140,3,1,5,1,1,2,2,7,5,4
1980,140,2,2,5,1,1,2,2,5,5,4
1966,140,1,1,1,1,1,2,3,5,8,2
1969,140,2,1,3,1,1,2,2,9,5,0
1959,140,1,1,1,1,1,2,3,5,7,2
1962,140,2,1,1,1,1,2,3,7,6,0
1990,140,2,2,1,1,1,2,2,4,4,1
1965,140,3,2,3,1,1,2,2,4,4,1
1976,140,3,2,5,1,1,2,2,4,5,4
1970,140,1,1,1,1,1,2,2,5,7,2
1970,140,1,1,1,1,1,2,2,5,7,2
1965,140,1,2,1,1,1,2,3,5,3,5
1960,140,1,2,5,1,1,2,3,5,4,4
1968,140,3,1,2,1,1,3,4,7,6,6
1970,140,1,1,1,1,1,2,3,5,6,2
1990,140,2,1,1,1,1,2,3,5,6,6
1957,140,2,2,1,1,1,2,3,5,3,1
1968,140,3,1,1,1,1,1,5,5,5,6
1977,140,3,1,1,7,7,7,5,9,5,0
1962,140,3,1,1,1,1,1,1,9,3,0
1971,140,3,1,1,1,1,1,6,9,5,0
1996,140,1,1,1,1,1,5,6,5,7,2
1992,140,1,1,1,11,11,11,11,9,2,0
1961,140,1,1,1,5,5,5,5,5,4,2
1985,140,2,1,1,7,5,7,5,5,6,6
1977,140,3,1,1,7,7,5,5,7,7,6
1985,140,2,1,1,7,7,7,6,4,6,6
1972,140,2,2,1,1,1,1,6,5,5,1
1988,140,2,1,1,7,7,5,6,3,7,6
1985,140,2,2,2,5,6,5,6,3,5,1
1980,140,1,1,1,1,9,1,9,5,5,2
1961,140,1,1,1,1,9,1,9,5,5,2
1968,140,3,1,2,7,7,7,7,4,5,6
1960,140,3,1,2,7,7,7,5,4,4,6
1962,140,1,1,1,11,11,11,11,9,2,0
1979,140,2,1,1,7,10,7,10,3,7,6
1974,140,1,1,1,5,5,5,5,8,5,0
1976,140,3,1,1,7,5,5,6,4,6,6
1971,140,3,2,1,7,7,11,6,4,2,1
1974,140,2,2,2,7,1,5,6,3,4,1
1961,140,2,2,5,1,1,1,1,9,1,4
1957,140,2,1,1,4,4,4,4,3,7,6
1962,140,1,1,1,5,5,5,5,4,7,2
1955,140,2,1,1,5,5,5,5,3,6,6
1984,140,1,1,1,1,1,1,1,3,7,2
1965,140,1,1,1,1,1,1,1,9,4,0
1963,140,1,1,1,5,5,5,5,3,7,2
1956,140,2,2,1,7,7,5,5,2,3,1
1984,140,1,1,1,1,1,1,1,5,8,2
1967,140,1,1,1,7,7,1,6,3,6,2
1962,140,2,1,1,4,4,4,4,3,7,6
1958,140,1,1,1,1,1,1,1,9,2,0
1962,140,1,2,1,1,11,5,6,5,1,5
1971,140,1,2,1,1,1,1,1,5,2,5
1962,140,1,2,1,8,9,11,9,9,1,0
1977,140,1,1,1,11,11,11,11,9,2,0
1958,140,1,2,1,7,1,11,6,4,3,5
1986,140,1,1,1,5,5,5,5,9,1,0
1968,140,1,2,1,5,5,5,5,9,1,0
1971,140,1,1,1,5,5,5,5,5,5,2
1967,140,1,1,2,7,1,5,6,4,6,2
1969,140,2,2,5,1,5,7,6,9,1,4
1975,140,1,1,2,1,5,2,3,3,5,2
1968,140,2,2,5,1,6,6,6,3,3,4
1967,140,1,2,2,7,2,10,7,3,6,5
1959,140,2,2,1,1,6,10,6,9,3,0
1982,140,1,2,1,1,6,5,9,2,13,3
1982,140,1,1,1,1,9,1,9,1,10,3
1981,140,1,1,1,1,5,1,10,4,3,2
1974,140,1,1,2,1,1,6,1,7,9,0
1986,140,1,1,1,1,5,2,6,3,7,2
1971,140,1,2,1,1,6,5,10,3,6,5
1959,140,1,2,2,1,1,5,7,3,6,5
1964,140,3,2,5,2,9,11,5,9,4,4
1978,140,2,1,1,5,11,1,11,3,10,6
1959,140,2,2,1,10,9,1,9,4,3,1
1978,140,2,2,2,6,9,1,9,3,7,1
1957,140,2,2,5,1,1,6,5,9,4,4
1957,140,2,1,1,1,7,5,6,3,10,6
1969,140,2,2,1,1,1,5,6,4,4,1
1963,140,3,2,3,2,9,6,7,3,7,1
1969,140,1,2,2,1,2,1,6,3,5,5
1967,140,1,1,1,6,1,4,6,9,1,0
1963,140,1,2,1,1,1,1,6,9,1,0
1958,140,1,1,2,1,6,6,7,3,9,2
1968,140,1,1,1,1,5,1,5,5,9,2
1992,140,1,2,1,1,5,1,5,5,1,5
1962,140,1,2,1,11,11,11,11,4,1,5
1967,140,1,2,2,11,8,11,8,3,3,5
1957,140,3,2,5,1,1,1,4,4,5,4
1955,140,1,1,1,1,5,1,5,5,3,2
1982,140,1,1,2,1,8,1,8,3,7,2
1963,140,1,2,1,11,11,11,11,5,3,5
1964,140,1,2,5,11,9,11,9,5,3,4
1973,140,1,2,2,11,11,8,8,3,4,5
1973,140,1,1,1,11,6,11,5,3,9,2
1976,140,1,2,1,11,1,11,11,5,4,5
1978,140,2,1,2,11,8,11,8,3,5,6
1976,140,2,1,5,11,11,11,11,7,3,4
1958,140,1,1,1,1,11,1,1,5,5,2
1958,140,1,2,1,1,5,1,5,5,4,5
1975,140,2,1,1,7,11,7,6,2,11,3
1963,140,2,2,1,11,11,11,11,2,4,1
1985,140,2,2,2,11,11,11,11,3,5,1
1982,140,1,1,1,4,4,4,4,1,17,3
1965,140,3,2,2,1,9,1,9,4,3,1
1962,140,1,1,3,1,1,1,1,5,3,2
1955,140,1,2,2,1,8,1,8,3,5,5
1962,140,1,2,5,11,11,11,11,5,3,4
1974,140,3,2,2,11,11,11,11,5,4,1
1960,140,1,1,1,1,1,1,1,9,4,0
1970,140,1,1,1,5,5,5,5,5,5,2
1980,140,3,1,1,1,1,1,1,9,5,0
1979,140,1,1,1,1,1,1,1,5,7,2
1978,140,1,2,1,21,6,21,6,5,1,5
1969,140,1,1,1,1,1,1,5,7,6,0
1966,140,1,2,2,7,7,5,6,3,5,5
1989,140,2,1,1,1,5,1,5,3,9,6
1956,140,2,1,1,1,1,5,5,5,5,6
1967,140,1,1,1,1,1,5,5,9,6,0
1975,140,1,1,1,1,1,1,1,5,6,2
1962,140,1,1,2,7,7,7,7,5,5,2
1964,140,1,1,1,1,5,1,5,7,7,0
1986,140,1,1,1,1,1,1,1,5,6,2
1966,140,1,2,5,5,5,5,5,5,5,4
1986,140,3,2,3,9,9,6,6,4,2,1
1980,140,1,2,2,7,11,3,8,3,4,5
1957,140,2,1,1,11,5,5,5,3,10,6
1986,140,1,1,1,1,1,5,6,5,5,2
1963,140,1,2,1,3,3,5,27,6,3,5
1965,140,1,2,2,11,1,5,10,4,5,5
1969,140,1,2,2,7,5,5,2,3,4,5
1972,140,1,1,1,1,1,5,5,7,7,0
1987,140,2,1,1,1,5,7,5,7,5,0
1981,140,2,1,2,7,7,5,2,5,4,6
1974,140,2,2,1,1,1,10,6,4,4,1
1960,140,2,1,2,10,6,10,6,3,6,6
1966,140,1,1,1,1,1,2,5,3,9,2
1974,140,2,1,2,1,5,1,6,3,4,6
1977,140,2,1,1,7,7,2,6,7,8,0
1985,140,2,2,1,1,6,11,5,3,7,1
1955,140,1,2,2,7,7,11,5,4,4,5
1978,140,1,1,1,1,1,3,5,1,9,2
1974,140,1,1,1,1,1,2,6,1,9,2
1965,140,1,2,1,7,11,2,6,5,4,5
1974,140,1,1,1,7,7,2,11,3,9,2
1970,140,1,2,1,1,6,7,6,4,6,5
1971,140,1,1,1,7,7,3,6,2,10,3
1982,140,1,2,1,1,7,2,6,4,4,5
1988,140,1,1,1,7,1,5,6,3,8,2
1957,140,1,2,1,7,6,1,6,4,6,5
1976,140,2,1,1,1,1,7,6,1,9,6
1968,140,3,1,1,5,6,2,9,4,5,6
1972,140,3,2,1,5,6,2,9,4,4,1
1966,140,1,1,1,1,1,4,6,2,9,2
1979,140,1,2,1,1,4,4,6,2,4,5
1956,140,3,1,2,1,7,2,9,5,5,6
1980,140,2,1,1,7,7,6,5,2,7,6
1989,140,2,2,1,7,7,6,4,3,5,1
1972,140,1,1,1,1,1,1,6,9,7,0
1986,140,1,1,2,7,7,4,6,3,6,2
1985,140,2,1,2,1,1,4,6,3,6,6
1985,140,1,1,1,7,7,11,6,2,9,2
1984,140,1,2,1,5,4,11,6,3,4,5
1987,140,2,1,1,1,6,11,6,2,7,6
1973,140,2,2,1,7,7,2,6,3,4,1
1971,140,1,1,1,1,6,11,6,3,7,2
1970,140,1,2,1,7,6,4,6,3,5,5
1974,140,3,2,2,11,10,11,6,2,6,1
1982,140,1,1,1,7,7,7,6,4,7,2
1979,140,1,2,1,7,7,5,6,3,5,5
1961,140,2,1,1,1,1,7,6,3,7,6
1955,140,2,2,1,1,1,3,5,3,4,1
1960,140,1,1,5,1,11,9,9,5,5,4
1983,140,1,2,1,1,9,2,9,3,6,5
1960,140,1,1,1,1,1,5,5,9,2,0
1962,140,1,1,1,11,1,5,5,8,5,0
1962,140,1,1,1,1,5,5,5,8,5,0
1957,140,1,1,1,1,9,11,9,2,9,2
1986,140,2,1,1,11,11,5,6,4,9,6
1958,140,1,1,1,1,1,5,5,4,9,2
1985,140,1,2,1,1,1,5,5,4,1,5
1965,140,2,1,1,1,9,4,6,2,8,6
1980,140,1,1,1,1,9,5,9,2,7,2
1961,140,2,2,1,1,1,6,5,1,5,1
1976,140,1,1,1,1,11,11,11,1,13,3
1965,140,2,1,1,1,11,5,6,4,7,6
1960,140,1,1,1,1,9,5,9,2,10,3
1962,140,1,2,1,1,9,5,5,4,2,5
