시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소
구립영등포어르신복지센터,G1685,(노인) 노인교실,노인여가복지시설,자치구,김나희,1156000000,영등포구,서울특별시 영등포구 도영로22길 36-0 4층해광빌딩
영등포50플러스센터,G1782,(노인) 노인교실,노인여가복지시설,자치구,오주호,1156000000,영등포구,서울특별시 영등포구 여의대방로 372여의도복지관 3층 
구립여의도어르신복지센터,G1783,(노인) 노인교실,노인여가복지시설,자치구,오주호,1156000000,영등포구,서울특별시 영등포구 여의대방로 372 (여의도동)
압구정노인복지센터,G2071,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김성진,1168000000,강남구,서울특별시 강남구 도산대로53길5 (신사동)
노원50플러스센터,G2529,(노인) 노인교실,노인여가복지시설,자치구,장부경,1135000000,노원구,서울특별시 노원구 노원로30길73 (상계동)
성동구립 사근동노인복지센터,G2855,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이도선,1120000000,성동구,서울특별시 성동구 사근동길 37 2층 (사근동)
밝은내어르신복지센터,G3369,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김동호,1147000000,양천구,서울특별시 양천구 신월로24길 19 (신월동 신월종합사회복지관 2층)
구립대조노인복지관,G3614,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이동열,1138000000,은평구,서울특별시 은평구 역말로9길 27(대조동)
구립신내경로복지센터,G3875,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최유형,1126000000,중랑구,서울특별시 중랑구 망우로65길 20-0 (신내동)20 (신내동)
월계어르신복지센터,G4109,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김현범,1135000000,노원구,서울특별시 노원구 월계동  936번지
성북구립 석관실버복지센터,G4165,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김주홍,1129000000,성북구,서울특별시 성북구 화랑로32길 88 (석관동)
성북구립 정릉실버복지센터,G4230,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김병래,1129000000,성북구,서울특별시 성북구 솔샘로 8 (정릉동)
성북50플러스센터,G4573,(노인) 노인교실,노인여가복지시설,자치구,장성호,1129000000,성북구,서울특별시 성북구 지봉로24길 26 (보문동5가)
서초구립느티나무쉼터,G4645,(노인) 노인복지관,노인여가복지시설,자치구,백혁,1165000000,서초구,서울특별시 서초구 염곡말길 9 (염곡동 느티나무쉼터)
성수1가2동노인복지센터,G4813,(노인) 노인복지관,노인여가복지시설,자치구,박필선,1120000000,성동구,서울특별시 성동구 왕십리로5길 6층 (성수동1가 성수1가2동 공공복합청사)
성북구립 삼선실버복지센터,G5082,(노인) 노인복지관(소규모),노인여가복지시설,자치구,나은미,1129000000,성북구,서울특별시 성북구 삼선교로18길 41 (삼선동5가)
상도은빛어르신복지관,G5219,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최재경,1159000000,동작구,서울특별시 동작구 매봉로 36 (상도1동)
강남70플러스라운지,G5500,(노인) 노인교실,노인여가복지시설,자치구,이은주,1168000000,강남구,서울특별시 강남구 도곡동 남부순환로378길 20
서서울어르신복지관,G5617,(노인) 노인복지관,노인여가복지시설,자치구,장은경,1147000000,양천구,서울특별시 양천구 가로공원로60가길16 (신월동)
금천어르신복지센터,G6756,(노인) 노인교실,노인여가복지시설,자치구,김미성,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동)
서초구립방배노인종합복지관,Z0629,(노인) 노인복지관,노인여가복지시설,자치구,이창열,1165000000,서초구,서울특별시 서초구 방배천로 48
